chronic_group_id,chronic_group,icd_expression,icd_code,classification
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C00,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C01,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C02,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C03,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C04,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C05,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C06,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C07,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C08,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C09,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C10,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C11,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C12,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C13,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C14,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C15,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C16,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C17,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C18,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C19,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C20,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C21,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C22,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C23,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C24,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C25,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C26,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C27,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C28,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C29,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C30,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C31,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C32,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C33,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C34,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C35,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C36,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C37,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C38,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C39,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C40,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C41,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C42,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C43,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C44,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C45,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C46,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C47,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C48,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C49,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C50,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C51,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C52,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C53,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C54,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C55,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C56,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C57,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C58,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C59,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C60,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C61,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C62,Finnish_34
1,Cancer and in-situ carcinomas,"C00-C97,D00-D09",C63,Finnish_34
