"diagnose_id";"descr";"icd_code"
14648;"Pfannenlockerung";"1010"
14649;"OsteolyseAcetabulum";"1011"
14650;"GroßerKnochendefektAcetabulum";"1012"
14651;"ChondropathiebeiKopfprothese";"1013"
14652;"FehlpositionierungPfanne";"1014"
14653;"Pfannenprotrusion";"1015"
14654;"Implantatabbruch-Pfanne";"1016"
14686;"Inlaybruch-Pfanne";"1017"
14696;"PeriprothetischeFraktur-Pfanne(Acetabulumfraktur)";"1018"
14655;"Schaftlockerung";"1020"
14656;"PeriprothetischeFraktur";"1021"
14657;"OsteolyseFemur";"1022"
14658;"GroßerKnochendefektFemur(DistalerTrochanterminor)";"1023"
14659;"Implantatbruch-Schaft";"1024"
14660;"Fehlpositionierung-Schaft";"1025"
14697;"Implantatbruch-Femurkopf";"1026"
14698;"Chondropathie-Femur(nachHalbschlitten)";"1028"
14661;"Materialabrieb";"1030"
14662;"Luxation";"1031"
14663;"ChronischerInfekt(nach3Monaten)";"1032"
14664;"Frühinfekt(bis3Monate)";"1033"
14665;"Synovitis";"1034"
14666;"PeriarticuläreOssifikation";"1035"
14667;"Kopfbruch";"1036"
14668;"Systemlockerung(SchaftundPfanne)";"1037"
14669;"Tumor";"1038"
14687;"Acetabulumfraktur(periprothetischeFrakturderPfanne)";"1040"
14699;"KontrakturoderArthrofibrose";"1042"
14700;"SchmerzenunklarerGenese";"1044"
14670;"AnderernäherbezeichneterGrund(KommentarM08)";"1048"
14701;"Bruch-Inlay";"1056"
14702;"Luxation-Inlay";"1057"
14703;"Osteolyse/Knochendefekt-Patella";"1062"
14704;"Chondropathie(nachHalbschlitten)";"1063"
14705;"Fehlpositionierung-Patella";"1064"
14706;"Implantatbruch-Patella";"1066"
14707;"Luxation-Patella";"1067"
14708;"Lockerung-Tibia";"1070"
14709;"PeriprothetischeFraktur-Tibia";"1071"
14710;"Osteolyse/Knochendefekt-Tibia";"1072"
14711;"Chondropathie(nachHalbschlitten)-Tibia";"1073"
14712;"Fehlpositionierung-Tibia";"1074"
14713;"Implantatbruch-Tibia";"1076"
14757;"MRSvorInsult–keineSymptome";"2010"
14758;"MRSvorInsult–keinerelevanteBeeinträchtigung.KanntrotzgewisserSymptomeAlltagsaktivitätenverrichten.";"2011"
14759;"MRSvorInsult–leichteBeeinträchtigung.KannsichohneHilfeversorgen,istaberimAlltageingeschränkt.";"2012"
14760;"MRSvorInsult–mittelschwereBeeinträchtigung.BenötigtHilfeimAlltag,kannaberohneHilfegehen.";"2013"
14761;"MRSvorInsult–höhergradigeBeeinträchtigung.BenötigtHilfebeiderKörperpflege,kannnichtohneHilfegehen.";"2014"
14762;"MRSvorInsult–schwereBehinderung.Bettlägerig,inkontinent,benötigtständigepflegerischeHilfe.";"2015"
14763;"MRSvorInsult–nichterhebbar";"2019"
14764;"MRSbeiAufnahme–keineSymptome";"2020"
14765;"MRSbeiAufnahme–keinerelevanteBeeinträchtigung.KanntrotzgewisserSymptomeAlltagsaktivitätenverrichten.";"2021"
14766;"MRSbeiAufnahme–leichteBeeinträchtigung.KannsichohneHilfeversorgen,istaberimAlltageingeschränkt.";"2022"
14767;"MRSbeiAufnahme–mittelschwereBeeinträchtigung.BenötigtHilfeimAlltag,kannaberohneHilfegehen.";"2023"
14768;"MRSbeiAufnahme–höhergradigeBeeinträchtigung.BenötigtHilfebeiderKörperpflege,kannnichtohneHilfegehen.";"2024"
14769;"MRSbeiAufnahme–schwereBehinderung.Bettlägerig,inkontinent,benötigtständigepflegerischeHilfe.";"2025"
14770;"MRSbeiEntlassung–keineSymptome";"2030"
14771;"MRSbeiEntlassung–keinerelevanteBeeinträchtigung.KanntrotzgewisserSymptomeAlltagsaktivitätenverrichten.";"2031"
14772;"MRSbeiEntlassung–leichteBeeinträchtigung.KannsichohneHilfeversorgen,istaberimAlltageingeschränkt.";"2032"
