"region_id";"descr"
-1;"Ausland"
11;"(11) Burgenland-Nord"
12;"(12) Burgenland-Süd"
21;"(21) Kärnten-Ost"
22;"(22) Kärnten-West"
31;"(31) NÖ Mitte"
32;"(32) Waldviertel"
33;"(33) Weinviertel"
34;"(34) Thermenregion"
35;"(35) Mostviertel"
41;"(41) OÖ Zentralraum Linz"
42;"(42) OÖ Zentralraum Wels"
43;"(43) Mühlviertel"
44;"(44) Pyhrn-Eisenwurzen"
45;"(45) Traunviertel-Salzkammergut"
46;"(46) Innviertel"
51;"(51) Salzburg-Nord"
52;"(52) Pinzgau-Pongau-Lungau"
61;"(61) Graz"
62;"(62) Liezen"
63;"(63) Östliche Obersteiermark"
64;"(64) Oststeiermark"
65;"(65) West-/Südsteiermark"
66;"(66) Westliche Obersteiermark"
71;"(71) Tirol-Zentralraum"
72;"(72) Tirol-West"
73;"(73) Tirol-Nordost"
74;"(74) Osttirol"
81;"(81) Rheintal-Bregenzerwald"
82;"(82) Vorarlberg-Süd"
91;"(91) Wien-Mitte-Südost"
92;"(92) Wien-West"
93;"(93) Wien-Nordost"
