"section_id","descr"
0,"Unbekannt"
4,"Innere Medizin und Hämatologie und internistische Onkologie"
7,"Innere Medizin und Kardiologie"
11,"Innere Medizin"
12,"Pulmologie (Lungenheilkunde)"
19,"Allgemeinchirurgie und Viszeralchirurgie"
20,"Allgemeinchirurgie und Gefäßchirurgie"
21,"Chirurgie"
22,"Unfallchirurgie"
23,"Orthopädie und orthopädische Chirurgie"
24,"Mund-, Kiefer- und Gesichtschirurgie"
25,"Neurochirurgie"
26,"Plastische Chirurgie"
27,"Kinder-Chirurgie"
28,"Herzchirurgie"
29,"Thoraxchirurgie"
30,"Orthopädie und Traumatologie"
31,"Frauenheilkunde und Geburtshilfe"
32,"Frauenheilkunde (Gynäkologie)"
33,"Geburtshilfe"
41,"Augenheilkunde"
42,"Hals-, Nasen- und Ohrenkrankheiten"
43,"Urologie"
45,"Haut- und Geschlechtskrankheiten"
48,"Zahn-, Mund- und Kieferheilkunde"
51,"Kinderheilkunde"
61,"Psychiatrie und Neurologie"
62,"Psychiatrie"
63,"Neurologie"
64,"Kinder- und Jugendpsychiatrie"
71,"Anästhesie"
72,"Radiologie"
73,"Strahlentherapie-Radioonkologie"
75,"Nuklearmedizin"
78,"Physikalische Medizin"
81,"Pathologie"
82,"Medizinisch-chemische Labordiagnostik"
83,"Mikrobiologisch-serologische Labordiagnostik"
91,"Interdisziplinärer Bereich"
98,"Akutgeriatrie und Remobilisation"
99,"Fachhauptbereich(e) - andere(r)"
