node_id,node_key,node_label,frequency,prevalence_percentage
0,F01,Cancer and in-situ carcinomas,2981,92.982
14,F15,Chronic eye diseases and blindness,650,20.274
18,F19,Other diseases of the heart and pulmonary circulation,329,10.262
30,F31,Back diseases,307,9.576
29,F30,Other musculoskeletal diseases,299,9.326
17,F18,Ischemic heart diseases,269,8.391
24,F25,Inflammatory and other bowel diseases,261,8.141
20,F21,Diseases of arteries and veins,225,7.018
28,F29,Arthrosis,210,6.55
31,F32,Chronic diseases of the kidneys and urinary tract,190,5.926
19,F20,Cerebrovascular diseases,176,5.49
13,F14,Diseases of nerves and nerve-muscle junction,159,4.959
25,F26,"Diseases of the liver, pancreas, and biliary tract",152,4.741
21,F22,Chronic diseases of the upper respiratory tract,139,4.336
22,F23,Chronic diseases of the lower respiratory tract,138,4.304
23,F24,"Diseases of the oesophagus, stomach, and duodenum",127,3.961
8,F09,Mood disorders,123,3.837
1,F02,Blood diseases and blood-forming organs,117,3.649
10,F11,Sleep disorders,116,3.618
6,F07,Psychiatric and behavioural diseases related to substance abuse,109,3.4
16,F17,Hypertensive diseases,107,3.337
3,F04,Diabetes,91,2.838
15,F16,Chronic ear diseases and deafness,73,2.277
12,F13,Epilepsy and migraine,67,2.09
9,F10,"Neurotic, stress-related and somatoform diseases, including eating disorders",64,1.996
11,F12,Other neurological diseases,50,1.56
27,F28,Inflammatory diseases of joints and connective tissue,49,1.528
7,F08,Schizophrenia and delusional diseases,46,1.435
5,F06,Dementia and organic psychical disorders,45,1.404
32,F33,Diseases of male genitals/reproductive organs,44,1.372
33,F34,Diseases of female genitals/reproductive organs,31,0.967
4,F05,Obesity and other metabolic diseases,29,0.905
2,F03,Endocrine diseases,19,0.593
26,F27,Chronic skin diseases,11,0.343
