K,split,AUC,model_seed,split_seed,negative_seed,training_rounds
2,1,0.972,2043,43,10043,10
2,2,0.875,2044,44,10044,10
2,3,0.903,2045,45,10045,10
2,4,0.910,2046,46,10046,10
2,5,0.910,2047,47,10047,10
2,6,0.917,2048,48,10048,10
2,7,0.882,2049,49,10049,10
2,8,0.938,2050,50,10050,10
2,9,0.924,2051,51,10051,10
2,10,0.924,2052,52,10052,10
2,11,0.951,2053,53,10053,10
2,12,0.924,2054,54,10054,10
2,13,0.903,2055,55,10055,10
2,14,0.906,2056,56,10056,10
2,15,0.931,2057,57,10057,10
2,16,0.986,2058,58,10058,10
2,17,0.938,2059,59,10059,10
2,18,0.917,2060,60,10060,10
2,19,0.917,2061,61,10061,10
2,20,0.944,2062,62,10062,10
2,21,0.931,2063,63,10063,10
2,22,0.924,2064,64,10064,10
2,23,0.931,2065,65,10065,10
2,24,0.944,2066,66,10066,10
2,25,0.910,2067,67,10067,10
2,26,0.944,2068,68,10068,10
2,27,0.917,2069,69,10069,10
2,28,0.938,2070,70,10070,10
2,29,0.931,2071,71,10071,10
2,30,0.910,2072,72,10072,10
2,31,0.917,2073,73,10073,10
2,32,0.910,2074,74,10074,10
2,33,0.917,2075,75,10075,10
2,34,0.979,2076,76,10076,10
2,35,0.910,2077,77,10077,10
2,36,0.903,2078,78,10078,10
2,37,0.972,2079,79,10079,10
2,38,0.924,2080,80,10080,10
2,39,0.924,2081,81,10081,10
2,40,0.944,2082,82,10082,10
2,41,0.958,2083,83,10083,10
2,42,0.903,2084,84,10084,10
2,43,0.903,2085,85,10085,10
2,44,0.951,2086,86,10086,10
2,45,0.931,2087,87,10087,10
2,46,0.917,2088,88,10088,10
2,47,0.896,2089,89,10089,10
2,48,0.944,2090,90,10090,10
2,49,0.944,2091,91,10091,10
2,50,0.917,2092,92,10092,10
2,51,0.917,2093,93,10093,10
2,52,0.903,2094,94,10094,10
2,53,0.951,2095,95,10095,10
2,54,0.924,2096,96,10096,10
2,55,0.924,2097,97,10097,10
2,56,0.910,2098,98,10098,10
2,57,0.910,2099,99,10099,10
2,58,0.951,2100,100,10100,10
2,59,0.924,2101,101,10101,10
2,60,0.938,2102,102,10102,10
2,61,0.910,2103,103,10103,10
2,62,0.938,2104,104,10104,10
2,63,0.917,2105,105,10105,10
2,64,0.903,2106,106,10106,10
2,65,0.917,2107,107,10107,10
2,66,0.944,2108,108,10108,10
2,67,0.931,2109,109,10109,10
2,68,0.944,2110,110,10110,10
2,69,0.917,2111,111,10111,10
2,70,0.931,2112,112,10112,10
2,71,0.924,2113,113,10113,10
2,72,0.910,2114,114,10114,10
2,73,0.889,2115,115,10115,10
2,74,0.868,2116,116,10116,10
2,75,0.965,2117,117,10117,10
2,76,0.958,2118,118,10118,10
2,77,0.938,2119,119,10119,10
2,78,0.965,2120,120,10120,10
2,79,0.910,2121,121,10121,10
2,80,0.924,2122,122,10122,10
2,81,0.972,2123,123,10123,10
2,82,0.958,2124,124,10124,10
2,83,0.889,2125,125,10125,10
2,84,0.965,2126,126,10126,10
2,85,0.875,2127,127,10127,10
2,86,0.917,2128,128,10128,10
2,87,0.903,2129,129,10129,10
2,88,0.931,2130,130,10130,10
2,89,0.924,2131,131,10131,10
2,90,0.938,2132,132,10132,10
2,91,0.938,2133,133,10133,10
2,92,0.924,2134,134,10134,10
2,93,0.944,2135,135,10135,10
2,94,0.924,2136,136,10136,10
2,95,0.924,2137,137,10137,10
2,96,0.896,2138,138,10138,10
2,97,0.917,2139,139,10139,10
2,98,0.917,2140,140,10140,10
2,99,0.938,2141,141,10141,10
2,100,0.944,2142,142,10142,10
3,1,0.958,3043,43,10043,10
3,2,0.889,3044,44,10044,10
3,3,0.903,3045,45,10045,10
3,4,0.924,3046,46,10046,10
3,5,0.931,3047,47,10047,10
3,6,0.917,3048,48,10048,10
3,7,0.924,3049,49,10049,10
3,8,0.931,3050,50,10050,10
3,9,0.944,3051,51,10051,10
3,10,0.903,3052,52,10052,10
3,11,0.965,3053,53,10053,10
3,12,0.910,3054,54,10054,10
3,13,0.938,3055,55,10055,10
3,14,0.896,3056,56,10056,10
3,15,0.896,3057,57,10057,10
3,16,0.979,3058,58,10058,10
3,17,0.917,3059,59,10059,10
3,18,0.924,3060,60,10060,10
3,19,0.917,3061,61,10061,10
3,20,0.951,3062,62,10062,10
3,21,0.924,3063,63,10063,10
3,22,0.917,3064,64,10064,10
3,23,0.903,3065,65,10065,10
3,24,0.924,3066,66,10066,10
3,25,0.910,3067,67,10067,10
3,26,0.938,3068,68,10068,10
3,27,0.917,3069,69,10069,10
3,28,0.958,3070,70,10070,10
3,29,0.924,3071,71,10071,10
3,30,0.924,3072,72,10072,10
3,31,0.938,3073,73,10073,10
3,32,0.931,3074,74,10074,10
3,33,0.910,3075,75,10075,10
3,34,0.965,3076,76,10076,10
3,35,0.903,3077,77,10077,10
3,36,0.938,3078,78,10078,10
3,37,0.951,3079,79,10079,10
3,38,0.910,3080,80,10080,10
3,39,0.951,3081,81,10081,10
3,40,0.938,3082,82,10082,10
3,41,0.910,3083,83,10083,10
3,42,0.903,3084,84,10084,10
3,43,0.892,3085,85,10085,10
3,44,0.951,3086,86,10086,10
3,45,0.924,3087,87,10087,10
3,46,0.910,3088,88,10088,10
3,47,0.924,3089,89,10089,10
3,48,0.910,3090,90,10090,10
3,49,0.944,3091,91,10091,10
3,50,0.917,3092,92,10092,10
3,51,0.910,3093,93,10093,10
3,52,0.910,3094,94,10094,10
3,53,0.944,3095,95,10095,10
3,54,0.931,3096,96,10096,10
3,55,0.910,3097,97,10097,10
3,56,0.910,3098,98,10098,10
3,57,0.917,3099,99,10099,10
3,58,0.958,3100,100,10100,10
3,59,0.931,3101,101,10101,10
3,60,0.944,3102,102,10102,10
3,61,0.903,3103,103,10103,10
3,62,0.924,3104,104,10104,10
3,63,0.924,3105,105,10105,10
3,64,0.882,3106,106,10106,10
3,65,0.931,3107,107,10107,10
3,66,0.917,3108,108,10108,10
3,67,0.931,3109,109,10109,10
3,68,0.958,3110,110,10110,10
3,69,0.910,3111,111,10111,10
3,70,0.931,3112,112,10112,10
3,71,0.924,3113,113,10113,10
3,72,0.944,3114,114,10114,10
3,73,0.917,3115,115,10115,10
3,74,0.910,3116,116,10116,10
3,75,0.972,3117,117,10117,10
3,76,0.958,3118,118,10118,10
3,77,0.917,3119,119,10119,10
3,78,0.938,3120,120,10120,10
3,79,0.944,3121,121,10121,10
3,80,0.938,3122,122,10122,10
3,81,0.965,3123,123,10123,10
3,82,0.931,3124,124,10124,10
3,83,0.910,3125,125,10125,10
3,84,0.924,3126,126,10126,10
3,85,0.875,3127,127,10127,10
3,86,0.903,3128,128,10128,10
3,87,0.896,3129,129,10129,10
3,88,0.938,3130,130,10130,10
3,89,0.910,3131,131,10131,10
3,90,0.944,3132,132,10132,10
3,91,0.917,3133,133,10133,10
3,92,0.924,3134,134,10134,10
3,93,0.951,3135,135,10135,10
3,94,0.924,3136,136,10136,10
3,95,0.924,3137,137,10137,10
3,96,0.868,3138,138,10138,10
3,97,0.924,3139,139,10139,10
3,98,0.882,3140,140,10140,10
3,99,0.931,3141,141,10141,10
3,100,0.931,3142,142,10142,10
4,1,0.958,4043,43,10043,10
4,2,0.896,4044,44,10044,10
4,3,0.896,4045,45,10045,10
4,4,0.917,4046,46,10046,10
4,5,0.917,4047,47,10047,10
4,6,0.917,4048,48,10048,10
4,7,0.917,4049,49,10049,10
4,8,0.924,4050,50,10050,10
4,9,0.910,4051,51,10051,10
4,10,0.910,4052,52,10052,10
4,11,0.938,4053,53,10053,10
4,12,0.910,4054,54,10054,10
4,13,0.931,4055,55,10055,10
4,14,0.906,4056,56,10056,10
4,15,0.889,4057,57,10057,10
4,16,0.944,4058,58,10058,10
4,17,0.965,4059,59,10059,10
4,18,0.951,4060,60,10060,10
4,19,0.910,4061,61,10061,10
4,20,0.944,4062,62,10062,10
4,21,0.924,4063,63,10063,10
4,22,0.944,4064,64,10064,10
4,23,0.910,4065,65,10065,10
4,24,0.903,4066,66,10066,10
4,25,0.903,4067,67,10067,10
4,26,0.951,4068,68,10068,10
4,27,0.903,4069,69,10069,10
4,28,0.924,4070,70,10070,10
4,29,0.924,4071,71,10071,10
4,30,0.910,4072,72,10072,10
4,31,0.910,4073,73,10073,10
4,32,0.944,4074,74,10074,10
4,33,0.910,4075,75,10075,10
4,34,0.931,4076,76,10076,10
4,35,0.882,4077,77,10077,10
4,36,0.903,4078,78,10078,10
4,37,0.951,4079,79,10079,10
4,38,0.903,4080,80,10080,10
4,39,0.931,4081,81,10081,10
4,40,0.910,4082,82,10082,10
4,41,0.903,4083,83,10083,10
4,42,0.896,4084,84,10084,10
4,43,0.865,4085,85,10085,10
4,44,0.944,4086,86,10086,10
4,45,0.917,4087,87,10087,10
4,46,0.924,4088,88,10088,10
4,47,0.896,4089,89,10089,10
4,48,0.938,4090,90,10090,10
4,49,0.958,4091,91,10091,10
4,50,0.924,4092,92,10092,10
4,51,0.924,4093,93,10093,10
4,52,0.903,4094,94,10094,10
4,53,0.938,4095,95,10095,10
4,54,0.944,4096,96,10096,10
4,55,0.958,4097,97,10097,10
4,56,0.938,4098,98,10098,10
4,57,0.903,4099,99,10099,10
4,58,0.951,4100,100,10100,10
4,59,0.910,4101,101,10101,10
4,60,0.958,4102,102,10102,10
4,61,0.896,4103,103,10103,10
4,62,0.889,4104,104,10104,10
4,63,0.903,4105,105,10105,10
4,64,0.896,4106,106,10106,10
4,65,0.854,4107,107,10107,10
4,66,0.931,4108,108,10108,10
4,67,0.931,4109,109,10109,10
4,68,0.944,4110,110,10110,10
4,69,0.910,4111,111,10111,10
4,70,0.938,4112,112,10112,10
4,71,0.910,4113,113,10113,10
4,72,0.910,4114,114,10114,10
4,73,0.903,4115,115,10115,10
4,74,0.903,4116,116,10116,10
4,75,0.979,4117,117,10117,10
4,76,0.965,4118,118,10118,10
4,77,0.924,4119,119,10119,10
4,78,0.931,4120,120,10120,10
4,79,0.931,4121,121,10121,10
4,80,0.924,4122,122,10122,10
4,81,0.972,4123,123,10123,10
4,82,0.951,4124,124,10124,10
4,83,0.903,4125,125,10125,10
4,84,0.938,4126,126,10126,10
4,85,0.882,4127,127,10127,10
4,86,0.924,4128,128,10128,10
4,87,0.896,4129,129,10129,10
4,88,0.931,4130,130,10130,10
5,1,0.931,5043,43,10043,10
5,2,0.875,5044,44,10044,10
5,3,0.875,5045,45,10045,10
5,4,0.931,5046,46,10046,10
5,5,0.924,5047,47,10047,10
5,6,0.938,5048,48,10048,10
5,7,0.924,5049,49,10049,10
5,8,0.944,5050,50,10050,10
5,9,0.910,5051,51,10051,10
5,10,0.924,5052,52,10052,10
6,1,0.938,6043,43,10043,10
6,2,0.854,6044,44,10044,10
6,3,0.903,6045,45,10045,10
6,4,0.924,6046,46,10046,10
6,5,0.896,6047,47,10047,10
6,6,0.924,6048,48,10048,10
6,7,0.861,6049,49,10049,10
6,8,0.924,6050,50,10050,10
6,9,0.938,6051,51,10051,10
6,10,0.917,6052,52,10052,10
7,1,0.931,7043,43,10043,10
7,2,0.875,7044,44,10044,10
7,3,0.882,7045,45,10045,10
7,4,0.931,7046,46,10046,10
7,5,0.917,7047,47,10047,10
7,6,0.931,7048,48,10048,10
7,7,0.910,7049,49,10049,10
7,8,0.931,7050,50,10050,10
7,9,0.896,7051,51,10051,10
7,10,0.903,7052,52,10052,10
8,1,0.951,8043,43,10043,10
8,2,0.910,8044,44,10044,10
8,3,0.896,8045,45,10045,10
8,4,0.910,8046,46,10046,10
8,5,0.917,8047,47,10047,10
8,6,0.917,8048,48,10048,10
8,7,0.910,8049,49,10049,10
8,8,0.917,8050,50,10050,10
8,9,0.896,8051,51,10051,10
8,10,0.903,8052,52,10052,10
9,1,0.944,9043,43,10043,10
9,2,0.868,9044,44,10044,10
9,3,0.896,9045,45,10045,10
9,4,0.910,9046,46,10046,10
9,5,0.910,9047,47,10047,10
9,6,0.910,9048,48,10048,10
9,7,0.924,9049,49,10049,10
9,8,0.938,9050,50,10050,10
9,9,0.931,9051,51,10051,10
9,10,0.896,9052,52,10052,10
10,1,0.951,10043,43,10043,10
10,2,0.896,10044,44,10044,10
10,3,0.889,10045,45,10045,10
10,4,0.938,10046,46,10046,10
10,5,0.917,10047,47,10047,10
10,6,0.917,10048,48,10048,10
10,7,0.910,10049,49,10049,10
10,8,0.931,10050,50,10050,10
10,9,0.917,10051,51,10051,10
10,10,0.910,10052,52,10052,10
11,1,0.951,11043,43,10043,10
11,2,0.875,11044,44,10044,10
11,3,0.910,11045,45,10045,10
11,4,0.903,11046,46,10046,10
11,5,0.903,11047,47,10047,10
11,6,0.889,11048,48,10048,10
11,7,0.903,11049,49,10049,10
11,8,0.931,11050,50,10050,10
11,9,0.917,11051,51,10051,10
11,10,0.896,11052,52,10052,10
12,1,0.938,12043,43,10043,10
12,2,0.882,12044,44,10044,10
12,3,0.889,12045,45,10045,10
12,4,0.944,12046,46,10046,10
12,5,0.938,12047,47,10047,10
12,6,0.889,12048,48,10048,10
12,7,0.917,12049,49,10049,10
12,8,0.931,12050,50,10050,10
12,9,0.931,12051,51,10051,10
12,10,0.875,12052,52,10052,10
13,1,0.938,13043,43,10043,10
13,2,0.903,13044,44,10044,10
13,3,0.896,13045,45,10045,10
13,4,0.924,13046,46,10046,10
13,5,0.910,13047,47,10047,10
13,6,0.903,13048,48,10048,10
13,7,0.889,13049,49,10049,10
13,8,0.924,13050,50,10050,10
13,9,0.917,13051,51,10051,10
13,10,0.882,13052,52,10052,10
14,1,0.944,14043,43,10043,10
14,2,0.889,14044,44,10044,10
14,3,0.910,14045,45,10045,10
14,4,0.903,14046,46,10046,10
14,5,0.917,14047,47,10047,10
