chronic_group_id,chronic_group,block_id,block_name
1,Cancer and in-situ carcinomas,22,C00-C97
1,Cancer and in-situ carcinomas,23,D00-D09
2,Blood diseases and blood-forming organs,26,D50-D53
2,Blood diseases and blood-forming organs,27,D55-D59
2,Blood diseases and blood-forming organs,28,D60-D64
2,Blood diseases and blood-forming organs,29,D65-D69
2,Blood diseases and blood-forming organs,30,D70-D77
2,Blood diseases and blood-forming organs,31,D80-D89
3,Endocrine diseases,32,E00-E07
3,Endocrine diseases,35,E20-E36
4,Diabetes,33,E10-E14
5,Obesity and other metabolic diseases,38,E65-E68
5,Obesity and other metabolic diseases,39,E70-E90
6,Dementia and organic psychical disorders,40,F00-F09
6,Dementia and organic psychical disorders,54,G30-G32
7,Psychiatric and behavioural diseases related to substance abuse,41,F10-F19
8,Schizophrenia and delusional diseases,42,F20-F29
9,Mood disorders,43,F30-F39
10,"Neurotic, stress-related and somatoform diseases, including eating disorders",44,F40-F48
10,"Neurotic, stress-related and somatoform diseases, including eating disorders",45,F50-F59
10,"Neurotic, stress-related and somatoform diseases, including eating disorders",46,F60-F69
11,Sleep disorders,45,F50-F59
11,Sleep disorders,56,G40-G47
12,Other neurological diseases,52,G10-G14
12,Other neurological diseases,53,G20-G26
12,Other neurological diseases,55,G35-G37
13,Epilepsy and migraine,56,G40-G47
14,Diseases of nerves and nerve-muscle junction,57,G50-G59
14,Diseases of nerves and nerve-muscle junction,58,G60-G64
14,Diseases of nerves and nerve-muscle junction,59,G70-G73
15,Chronic eye diseases and blindness,64,H15-H22
15,Chronic eye diseases and blindness,65,H25-H28
15,Chronic eye diseases and blindness,66,H30-H36
15,Chronic eye diseases and blindness,67,H40-H42
15,Chronic eye diseases and blindness,69,H46-H48
15,Chronic eye diseases and blindness,70,H49-H52
15,Chronic eye diseases and blindness,71,H53-H54
16,Chronic ear diseases and deafness,75,H80-H83
16,Chronic ear diseases and deafness,76,H90-H95
17,Hypertensive diseases,79,I10-I15
17,Hypertensive diseases,86,I95-I99
18,Ischemic heart diseases,80,I20-I25
19,Other diseases of the heart and pulmonary circulation,81,I26-I28
19,Other diseases of the heart and pulmonary circulation,82,I30-I52
20,Cerebrovascular diseases,83,I60-I69
21,Diseases of arteries and veins,84,I70-I79
21,Diseases of arteries and veins,85,I80-I89
22,Chronic diseases of the upper respiratory tract,90,J30-J39
23,Chronic diseases of the lower respiratory tract,91,J40-J47
23,Chronic diseases of the lower respiratory tract,92,J60-J70
23,Chronic diseases of the lower respiratory tract,93,J80-J84
23,Chronic diseases of the lower respiratory tract,95,J90-J94
23,Chronic diseases of the lower respiratory tract,96,J95-J99
24,"Diseases of the oesophagus, stomach, and duodenum",98,K20-K31
25,Inflammatory and other bowel diseases,101,K50-K52
25,Inflammatory and other bowel diseases,102,K55-K64
25,Inflammatory and other bowel diseases,106,K90-K93
26,"Diseases of the liver, pancreas, and biliary tract",104,K70-K77
26,"Diseases of the liver, pancreas, and biliary tract",105,K80-K87
27,Chronic skin diseases,108,L10-L14
27,Chronic skin diseases,109,L20-L30
27,Chronic skin diseases,110,L40-L45
28,Inflammatory diseases of joints and connective tissue,115,M00-M25
28,Inflammatory diseases of joints and connective tissue,116,M30-M36
29,Arthrosis,115,M00-M25
30,Other musculoskeletal diseases,115,M00-M25
30,Other musculoskeletal diseases,118,M60-M79
30,Other musculoskeletal diseases,119,M80-M94
30,Other musculoskeletal diseases,120,M95-M99
31,Back diseases,117,M40-M54
32,Chronic diseases of the kidneys and urinary tract,121,N00-N08
32,Chronic diseases of the kidneys and urinary tract,122,N10-N16
32,Chronic diseases of the kidneys and urinary tract,123,N17-N19
32,Chronic diseases of the kidneys and urinary tract,124,N20-N23
32,Chronic diseases of the kidneys and urinary tract,126,N30-N39
33,Diseases of male genitals/reproductive organs,127,N40-N51
34,Diseases of female genitals/reproductive organs,130,N80-N98
